dataset,model,alpha,seed,run_kind_warm,subset_key,warmstart_points,iters_to_best_excl_warmstart_warm,reached_best_warm,best_value_run_warm,best_value_dataset_col_warm,file_warm,run_kind_rand,iters_to_best_excl_warmstart_rand,reached_best_rand,best_value_run_rand,best_value_dataset_col_rand,file_rand
matbench_steels (composition),BNN,0.1,42,warm,matbench_steels_120__llm__m120_seed42_2878b9e1f3,120,75,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_warmstart_from_LLMsubsets\BNN__matbench_steels (composition)__a0p1__seed42__warm__matbench_steels_120__llm__m120_seed42_2878b9e1f3.csv,rand,11,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_random_matched_to_LLMsubsets\BNN__matbench_steels (composition)__a0p1__seed42__rand__matbench_steels_120__llm__m120_seed42_2878b9e1f3.csv
matbench_steels (composition),BNN,0.1,42,warm,matbench_steels_146__llm__m146_seed42_f40154df8f,146,11,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_warmstart_from_LLMsubsets\BNN__matbench_steels (composition)__a0p1__seed42__warm__matbench_steels_146__llm__m146_seed42_f40154df8f.csv,rand,6,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_random_matched_to_LLMsubsets\BNN__matbench_steels (composition)__a0p1__seed42__rand__matbench_steels_146__llm__m146_seed42_f40154df8f.csv
matbench_steels (composition),BNN,0.1,42,warm,matbench_steels_157__llm__m157_seed42_0d0d707153,157,11,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_warmstart_from_LLMsubsets\BNN__matbench_steels (composition)__a0p1__seed42__warm__matbench_steels_157__llm__m157_seed42_0d0d707153.csv,rand,5,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_random_matched_to_LLMsubsets\BNN__matbench_steels (composition)__a0p1__seed42__rand__matbench_steels_157__llm__m157_seed42_0d0d707153.csv
matbench_steels (composition),BNN,0.1,42,warm,matbench_steels_15__llm_e_m15_seed42_e62add29af,15,15,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_warmstart_from_LLMsubsets\BNN__matbench_steels (composition)__a0p1__seed42__warm__matbench_steels_15__llm_e_m15_seed42_e62add29af.csv,rand,53,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_random_matched_to_LLMsubsets\BNN__matbench_steels (composition)__a0p1__seed42__rand__matbench_steels_15__llm_e_m15_seed42_e62add29af.csv
matbench_steels (composition),BNN,0.1,42,warm,matbench_steels_169__llm__m169_seed42_e92a4eff0c,169,5,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_warmstart_from_LLMsubsets\BNN__matbench_steels (composition)__a0p1__seed42__warm__matbench_steels_169__llm__m169_seed42_e92a4eff0c.csv,rand,8,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_random_matched_to_LLMsubsets\BNN__matbench_steels (composition)__a0p1__seed42__rand__matbench_steels_169__llm__m169_seed42_e92a4eff0c.csv
matbench_steels (composition),BNN,0.1,42,warm,matbench_steels_24__llm_e_m24_seed42_b0236021ae,24,9,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_warmstart_from_LLMsubsets\BNN__matbench_steels (composition)__a0p1__seed42__warm__matbench_steels_24__llm_e_m24_seed42_b0236021ae.csv,rand,26,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_random_matched_to_LLMsubsets\BNN__matbench_steels (composition)__a0p1__seed42__rand__matbench_steels_24__llm_e_m24_seed42_b0236021ae.csv
matbench_steels (composition),BNN,0.1,42,warm,matbench_steels_39__llm_e_m39_seed42_a2430c3c2b,39,20,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_warmstart_from_LLMsubsets\BNN__matbench_steels (composition)__a0p1__seed42__warm__matbench_steels_39__llm_e_m39_seed42_a2430c3c2b.csv,rand,23,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_random_matched_to_LLMsubsets\BNN__matbench_steels (composition)__a0p1__seed42__rand__matbench_steels_39__llm_e_m39_seed42_a2430c3c2b.csv
matbench_steels (composition),BNN,0.1,42,warm,matbench_steels_40__llm_e_m40_seed42_8070609a4f,40,23,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_warmstart_from_LLMsubsets\BNN__matbench_steels (composition)__a0p1__seed42__warm__matbench_steels_40__llm_e_m40_seed42_8070609a4f.csv,rand,30,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_random_matched_to_LLMsubsets\BNN__matbench_steels (composition)__a0p1__seed42__rand__matbench_steels_40__llm_e_m40_seed42_8070609a4f.csv
matbench_steels (composition),BNN,0.1,42,warm,matbench_steels_42__llm_e_m42_seed42_77a5b2055b,42,18,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_warmstart_from_LLMsubsets\BNN__matbench_steels (composition)__a0p1__seed42__warm__matbench_steels_42__llm_e_m42_seed42_77a5b2055b.csv,rand,17,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_random_matched_to_LLMsubsets\BNN__matbench_steels (composition)__a0p1__seed42__rand__matbench_steels_42__llm_e_m42_seed42_77a5b2055b.csv
matbench_steels (composition),BNN,0.1,42,warm,matbench_steels_43__llm_e_m43_seed42_26a89821e9,43,15,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_warmstart_from_LLMsubsets\BNN__matbench_steels (composition)__a0p1__seed42__warm__matbench_steels_43__llm_e_m43_seed42_26a89821e9.csv,rand,15,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_random_matched_to_LLMsubsets\BNN__matbench_steels (composition)__a0p1__seed42__rand__matbench_steels_43__llm_e_m43_seed42_26a89821e9.csv
matbench_steels (composition),BNN,0.5,38,warm,matbench_steels_170__llm__m170_seed38_3f37f23ff1,170,9,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_warmstart_from_LLMsubsets\BNN__matbench_steels (composition)__a0p5__seed38__warm__matbench_steels_170__llm__m170_seed38_3f37f23ff1.csv,rand,1,True,2487.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_random_matched_to_LLMsubsets\BNN__matbench_steels (composition)__a0p5__seed38__rand__matbench_steels_170__llm__m170_seed38_3f37f23ff1.csv
matbench_steels (composition),BNN,0.5,38,warm,matbench_steels_54__llm_e_m54_seed38_edb32ac78e,54,32,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_warmstart_from_LLMsubsets\BNN__matbench_steels (composition)__a0p5__seed38__warm__matbench_steels_54__llm_e_m54_seed38_edb32ac78e.csv,rand,13,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_random_matched_to_LLMsubsets\BNN__matbench_steels (composition)__a0p5__seed38__rand__matbench_steels_54__llm_e_m54_seed38_edb32ac78e.csv
matbench_steels (composition),BNN,0.5,39,warm,matbench_steels_2__llm_ex_m2_seed39_e6b0b07450,2,17,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_warmstart_from_LLMsubsets\BNN__matbench_steels (composition)__a0p5__seed39__warm__matbench_steels_2__llm_ex_m2_seed39_e6b0b07450.csv,rand,25,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_random_matched_to_LLMsubsets\BNN__matbench_steels (composition)__a0p5__seed39__rand__matbench_steels_2__llm_ex_m2_seed39_e6b0b07450.csv
matbench_steels (composition),BNN,0.5,39,warm,matbench_steels_83__llm_e_m83_seed39_4d92f83792,83,10,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_warmstart_from_LLMsubsets\BNN__matbench_steels (composition)__a0p5__seed39__warm__matbench_steels_83__llm_e_m83_seed39_4d92f83792.csv,rand,3,True,2501.1,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_random_matched_to_LLMsubsets\BNN__matbench_steels (composition)__a0p5__seed39__rand__matbench_steels_83__llm_e_m83_seed39_4d92f83792.csv
matbench_steels (composition),BNN,0.5,40,warm,matbench_steels_158__llm__m158_seed40_2edac14743,158,8,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_warmstart_from_LLMsubsets\BNN__matbench_steels (composition)__a0p5__seed40__warm__matbench_steels_158__llm__m158_seed40_2edac14743.csv,rand,14,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_random_matched_to_LLMsubsets\BNN__matbench_steels (composition)__a0p5__seed40__rand__matbench_steels_158__llm__m158_seed40_2edac14743.csv
matbench_steels (composition),BNN,0.5,40,warm,matbench_steels_8__llm_ex_m8_seed40_7950a871f7,8,13,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_warmstart_from_LLMsubsets\BNN__matbench_steels (composition)__a0p5__seed40__warm__matbench_steels_8__llm_ex_m8_seed40_7950a871f7.csv,rand,24,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_random_matched_to_LLMsubsets\BNN__matbench_steels (composition)__a0p5__seed40__rand__matbench_steels_8__llm_ex_m8_seed40_7950a871f7.csv
matbench_steels (composition),BNN,0.5,41,warm,matbench_steels_130__llm__m130_seed41_a07a00f9f6,130,10,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_warmstart_from_LLMsubsets\BNN__matbench_steels (composition)__a0p5__seed41__warm__matbench_steels_130__llm__m130_seed41_a07a00f9f6.csv,rand,10,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_random_matched_to_LLMsubsets\BNN__matbench_steels (composition)__a0p5__seed41__rand__matbench_steels_130__llm__m130_seed41_a07a00f9f6.csv
matbench_steels (composition),BNN,0.5,41,warm,matbench_steels_13__llm_e_m13_seed41_26346c45ee,13,14,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_warmstart_from_LLMsubsets\BNN__matbench_steels (composition)__a0p5__seed41__warm__matbench_steels_13__llm_e_m13_seed41_26346c45ee.csv,rand,11,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_random_matched_to_LLMsubsets\BNN__matbench_steels (composition)__a0p5__seed41__rand__matbench_steels_13__llm_e_m13_seed41_26346c45ee.csv
matbench_steels (composition),BNN,0.5,42,warm,matbench_steels_110__llm__m110_seed42_6a93007538,110,17,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_warmstart_from_LLMsubsets\BNN__matbench_steels (composition)__a0p5__seed42__warm__matbench_steels_110__llm__m110_seed42_6a93007538.csv,rand,12,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_random_matched_to_LLMsubsets\BNN__matbench_steels (composition)__a0p5__seed42__rand__matbench_steels_110__llm__m110_seed42_6a93007538.csv
matbench_steels (composition),BNN,0.5,42,warm,matbench_steels_119__llm__m119_seed42_1940f9b50b,119,15,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_warmstart_from_LLMsubsets\BNN__matbench_steels (composition)__a0p5__seed42__warm__matbench_steels_119__llm__m119_seed42_1940f9b50b.csv,rand,8,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_random_matched_to_LLMsubsets\BNN__matbench_steels (composition)__a0p5__seed42__rand__matbench_steels_119__llm__m119_seed42_1940f9b50b.csv
matbench_steels (composition),BNN,0.5,42,warm,matbench_steels_120__llm__m120_seed42_2878b9e1f3,120,57,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_warmstart_from_LLMsubsets\BNN__matbench_steels (composition)__a0p5__seed42__warm__matbench_steels_120__llm__m120_seed42_2878b9e1f3.csv,rand,13,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_random_matched_to_LLMsubsets\BNN__matbench_steels (composition)__a0p5__seed42__rand__matbench_steels_120__llm__m120_seed42_2878b9e1f3.csv
matbench_steels (composition),BNN,0.5,42,warm,matbench_steels_146__llm__m146_seed42_f40154df8f,146,11,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_warmstart_from_LLMsubsets\BNN__matbench_steels (composition)__a0p5__seed42__warm__matbench_steels_146__llm__m146_seed42_f40154df8f.csv,rand,6,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_random_matched_to_LLMsubsets\BNN__matbench_steels (composition)__a0p5__seed42__rand__matbench_steels_146__llm__m146_seed42_f40154df8f.csv
matbench_steels (composition),BNN,0.5,42,warm,matbench_steels_157__llm__m157_seed42_0d0d707153,157,11,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_warmstart_from_LLMsubsets\BNN__matbench_steels (composition)__a0p5__seed42__warm__matbench_steels_157__llm__m157_seed42_0d0d707153.csv,rand,5,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_random_matched_to_LLMsubsets\BNN__matbench_steels (composition)__a0p5__seed42__rand__matbench_steels_157__llm__m157_seed42_0d0d707153.csv
matbench_steels (composition),BNN,0.5,42,warm,matbench_steels_15__llm_e_m15_seed42_e62add29af,15,15,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_warmstart_from_LLMsubsets\BNN__matbench_steels (composition)__a0p5__seed42__warm__matbench_steels_15__llm_e_m15_seed42_e62add29af.csv,rand,53,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_random_matched_to_LLMsubsets\BNN__matbench_steels (composition)__a0p5__seed42__rand__matbench_steels_15__llm_e_m15_seed42_e62add29af.csv
matbench_steels (composition),BNN,0.5,42,warm,matbench_steels_169__llm__m169_seed42_e92a4eff0c,169,5,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_warmstart_from_LLMsubsets\BNN__matbench_steels (composition)__a0p5__seed42__warm__matbench_steels_169__llm__m169_seed42_e92a4eff0c.csv,rand,8,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_random_matched_to_LLMsubsets\BNN__matbench_steels (composition)__a0p5__seed42__rand__matbench_steels_169__llm__m169_seed42_e92a4eff0c.csv
matbench_steels (composition),BNN,0.5,42,warm,matbench_steels_24__llm_e_m24_seed42_b0236021ae,24,9,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_warmstart_from_LLMsubsets\BNN__matbench_steels (composition)__a0p5__seed42__warm__matbench_steels_24__llm_e_m24_seed42_b0236021ae.csv,rand,31,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_random_matched_to_LLMsubsets\BNN__matbench_steels (composition)__a0p5__seed42__rand__matbench_steels_24__llm_e_m24_seed42_b0236021ae.csv
matbench_steels (composition),BNN,0.5,42,warm,matbench_steels_39__llm_e_m39_seed42_a2430c3c2b,39,20,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_warmstart_from_LLMsubsets\BNN__matbench_steels (composition)__a0p5__seed42__warm__matbench_steels_39__llm_e_m39_seed42_a2430c3c2b.csv,rand,23,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_random_matched_to_LLMsubsets\BNN__matbench_steels (composition)__a0p5__seed42__rand__matbench_steels_39__llm_e_m39_seed42_a2430c3c2b.csv
matbench_steels (composition),BNN,0.5,42,warm,matbench_steels_40__llm_e_m40_seed42_8070609a4f,40,23,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_warmstart_from_LLMsubsets\BNN__matbench_steels (composition)__a0p5__seed42__warm__matbench_steels_40__llm_e_m40_seed42_8070609a4f.csv,rand,27,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_random_matched_to_LLMsubsets\BNN__matbench_steels (composition)__a0p5__seed42__rand__matbench_steels_40__llm_e_m40_seed42_8070609a4f.csv
matbench_steels (composition),BNN,0.5,42,warm,matbench_steels_42__llm_e_m42_seed42_77a5b2055b,42,17,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_warmstart_from_LLMsubsets\BNN__matbench_steels (composition)__a0p5__seed42__warm__matbench_steels_42__llm_e_m42_seed42_77a5b2055b.csv,rand,17,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_random_matched_to_LLMsubsets\BNN__matbench_steels (composition)__a0p5__seed42__rand__matbench_steels_42__llm_e_m42_seed42_77a5b2055b.csv
matbench_steels (composition),BNN,0.5,42,warm,matbench_steels_43__llm_e_m43_seed42_26a89821e9,43,15,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_warmstart_from_LLMsubsets\BNN__matbench_steels (composition)__a0p5__seed42__warm__matbench_steels_43__llm_e_m43_seed42_26a89821e9.csv,rand,15,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_random_matched_to_LLMsubsets\BNN__matbench_steels (composition)__a0p5__seed42__rand__matbench_steels_43__llm_e_m43_seed42_26a89821e9.csv
matbench_steels (composition),BNN,1.0,38,warm,matbench_steels_170__llm__m170_seed38_3f37f23ff1,170,9,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_warmstart_from_LLMsubsets\BNN__matbench_steels (composition)__a1__seed38__warm__matbench_steels_170__llm__m170_seed38_3f37f23ff1.csv,rand,1,True,2487.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_random_matched_to_LLMsubsets\BNN__matbench_steels (composition)__a1__seed38__rand__matbench_steels_170__llm__m170_seed38_3f37f23ff1.csv
matbench_steels (composition),BNN,1.0,38,warm,matbench_steels_54__llm_e_m54_seed38_edb32ac78e,54,31,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_warmstart_from_LLMsubsets\BNN__matbench_steels (composition)__a1__seed38__warm__matbench_steels_54__llm_e_m54_seed38_edb32ac78e.csv,rand,13,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_random_matched_to_LLMsubsets\BNN__matbench_steels (composition)__a1__seed38__rand__matbench_steels_54__llm_e_m54_seed38_edb32ac78e.csv
matbench_steels (composition),BNN,1.0,39,warm,matbench_steels_2__llm_ex_m2_seed39_e6b0b07450,2,17,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_warmstart_from_LLMsubsets\BNN__matbench_steels (composition)__a1__seed39__warm__matbench_steels_2__llm_ex_m2_seed39_e6b0b07450.csv,rand,25,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_random_matched_to_LLMsubsets\BNN__matbench_steels (composition)__a1__seed39__rand__matbench_steels_2__llm_ex_m2_seed39_e6b0b07450.csv
matbench_steels (composition),BNN,1.0,39,warm,matbench_steels_83__llm_e_m83_seed39_4d92f83792,83,10,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_warmstart_from_LLMsubsets\BNN__matbench_steels (composition)__a1__seed39__warm__matbench_steels_83__llm_e_m83_seed39_4d92f83792.csv,rand,3,True,2501.1,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_random_matched_to_LLMsubsets\BNN__matbench_steels (composition)__a1__seed39__rand__matbench_steels_83__llm_e_m83_seed39_4d92f83792.csv
matbench_steels (composition),BNN,1.0,40,warm,matbench_steels_158__llm__m158_seed40_2edac14743,158,9,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_warmstart_from_LLMsubsets\BNN__matbench_steels (composition)__a1__seed40__warm__matbench_steels_158__llm__m158_seed40_2edac14743.csv,rand,14,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_random_matched_to_LLMsubsets\BNN__matbench_steels (composition)__a1__seed40__rand__matbench_steels_158__llm__m158_seed40_2edac14743.csv
matbench_steels (composition),BNN,1.0,40,warm,matbench_steels_8__llm_ex_m8_seed40_7950a871f7,8,13,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_warmstart_from_LLMsubsets\BNN__matbench_steels (composition)__a1__seed40__warm__matbench_steels_8__llm_ex_m8_seed40_7950a871f7.csv,rand,24,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_random_matched_to_LLMsubsets\BNN__matbench_steels (composition)__a1__seed40__rand__matbench_steels_8__llm_ex_m8_seed40_7950a871f7.csv
matbench_steels (composition),BNN,1.0,41,warm,matbench_steels_130__llm__m130_seed41_a07a00f9f6,130,10,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_warmstart_from_LLMsubsets\BNN__matbench_steels (composition)__a1__seed41__warm__matbench_steels_130__llm__m130_seed41_a07a00f9f6.csv,rand,10,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_random_matched_to_LLMsubsets\BNN__matbench_steels (composition)__a1__seed41__rand__matbench_steels_130__llm__m130_seed41_a07a00f9f6.csv
matbench_steels (composition),BNN,1.0,41,warm,matbench_steels_13__llm_e_m13_seed41_26346c45ee,13,14,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_warmstart_from_LLMsubsets\BNN__matbench_steels (composition)__a1__seed41__warm__matbench_steels_13__llm_e_m13_seed41_26346c45ee.csv,rand,11,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_random_matched_to_LLMsubsets\BNN__matbench_steels (composition)__a1__seed41__rand__matbench_steels_13__llm_e_m13_seed41_26346c45ee.csv
matbench_steels (composition),BNN,1.0,42,warm,matbench_steels_110__llm__m110_seed42_6a93007538,110,14,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_warmstart_from_LLMsubsets\BNN__matbench_steels (composition)__a1__seed42__warm__matbench_steels_110__llm__m110_seed42_6a93007538.csv,rand,12,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_random_matched_to_LLMsubsets\BNN__matbench_steels (composition)__a1__seed42__rand__matbench_steels_110__llm__m110_seed42_6a93007538.csv
